ID,TIPO,NOME,API00,API99,META,EDU,TEST_INSC,TEST_NUM,REFS,NPI
1611506097653,Medio,Canyon Middle,811,767,2,3.5699999332428,1156,1006,10,3
1611680132746,Superior,Emery High,491,443,18,2.82999992370605,204,160,20,10
1611686090492,Fundamental,Anna Yates Elem,693,571,11,2.92000007629395,297,233,67,8
1611686113450,Medio,Emery Middle,583,519,14,3.05999994277954,203,139,79,10
1611760130062,Superior,American High,673,646,8,3.22000002861023,981,844,16,14
1611760134270,Superior,Irvington High,715,692,5,3.35999989509583,1372,1236,10,8
1611760134452,Superior,Kennedy (John F,692,689,6,3.04999995231628,1059,936,20,22
1611760138693,Superior,Washington High,749,767,2,3.46000003814697,1437,1182,11,11
1611766000541,Fundamental,Blacow (John) E,695,653,7,2.90000009536743,484,430,29,24
1611766000558,Fundamental,Brier Elementar,726,696,5,3.11999988555908,480,415,30,18
1611766000566,Fundamental,Cabrillo Elemen,703,630,9,2.53999996185303,311,256,37,31
1611766000590,Fundamental,Grimmer (E. M.),716,670,7,3.05999994277954,357,310,25,17
1611766000624,Fundamental,Glenmoor Elemen,801,765,2,3.34999990463257,416,363,20,12
1611766000640,Fundamental,Green (Harvey) ,719,702,5,2.78999996185303,361,296,24,6
1611766000665,Fundamental,Durham (J. Hale,761,690,6,3.04999995231628,507,375,24,17
1611766000681,Fundamental,Azeveda (Joseph,686,667,7,2.79999995231628,421,355,26,30
1611766000715,Fundamental,Maloney (Tom) E,742,691,5,3.52999997138977,313,254,20,16
1611766000764,Fundamental,Hirsch (O. N.) ,734,749,3,3.39000010490417,297,266,22,10
1611766000798,Fundamental,Parkmont Elemen,837,795,1,3.60999989509583,502,455,13,7
1611766000806,Fundamental,Patterson Eleme,733,678,6,3.25,483,386,27,27
1611766000830,Fundamental,Vallejo Mill El,753,694,5,3.25,286,262,25,19
1611766000848,Fundamental,Warm Springs El,811,794,1,3.70000004768372,555,512,9,9
1611766056873,Medio,Centerville Jun,773,764,2,3.48000001907349,888,776,16,8
1611766056881,Medio,Walters (G. M.),708,702,5,3.10999989509583,813,747,24,16
1611766056907,Medio,Horner (John M.,760,740,3,3.3199999332428,978,889,15,8
1611766056915,Medio,Thornton Junior,733,707,5,3.22000002861023,728,633,22,13
1611766089320,Fundamental,Brookvale Eleme,779,766,2,3.3199999332428,347,290,18,10
1611766089619,Fundamental,Warwick Element,795,752,2,3.69000005722046,502,460,17,10
1611766090542,Fundamental,Oliveira Elemen,782,729,4,3.24000000953674,352,282,22,11
1611766090559,Fundamental,Millard (Steven,798,784,1,3.26999998092651,470,433,14,7
1611766104723,Fundamental,Ardenwood Eleme,814,794,1,3.6800000667572,593,574,22,13
1611920133629,Superior,Hayward High,582,586,11,3.0699999332428,1389,1004,30,18
1611920135319,Superior,Mt. Eden High,606,591,10,3.01999998092651,1502,1266,33,22
1611920138339,Superior,Tennyson High,528,531,13,2.66000008583069,1225,1009,49,37
1611926000889,Fundamental,Bowman Elementa,607,538,13,2.53999996185303,339,307,61,39
1611926000905,Fundamental,Burbank Element,563,526,14,1.86000001430511,518,425,75,51
1611926000913,Fundamental,Cherryland Elem,593,518,14,2.19000005722046,565,436,72,35
1611926000921,Fundamental,East Avenue Ele,761,726,4,3.59999990463257,267,227,15,3
1611926000947,Fundamental,Eldridge Elemen,620,592,10,2.78999996185303,242,221,51,20
1611926000962,Fundamental,Fairview Elemen,637,611,9,3.19000005722046,307,252,40,7
1611926000988,Fundamental,Glassbrook Elem,588,528,14,2.57999992370605,264,120,75,30
1611926000996,Fundamental,Harder Elementa,583,521,14,2.5699999332428,523,439,60,29
1611926001002,Fundamental,Highland Elemen,723,721,4,3.60999989509583,343,300,24,13
1611926001044,Fundamental,Longwood Elemen,589,547,13,2.38000011444092,504,383,62,44
1611926001051,Fundamental,Lorin A. Eden E,624,596,10,2.96000003814697,378,324,47,28
1611926001069,Fundamental,Markham Element,607,604,10,2.95000004768372,412,331,58,19
1611926001085,Fundamental,Muir (John) Ele,551,546,13,2.74000000953674,480,413,66,50
1611926001093,Fundamental,Palma Ceia Elem,600,578,11,2.72000002861023,450,379,57,24
1611926001101,Fundamental,Park Elementary,627,586,11,2.72000002861023,438,365,48,31
1611926001127,Fundamental,Ruus Elementary,567,535,13,2.67000007629395,626,526,62,43
1611926001150,Fundamental,Shepherd Elemen,545,482,16,2.30999994277954,241,176,84,56
1611926001176,Fundamental,Southgate Eleme,670,630,9,3.04999995231628,462,425,35,19
1611926001192,Fundamental,Treeview Elemen,650,560,12,2.8199999332428,398,288,50,23
1611926056931,Medio,Bret Harte Midd,662,654,7,3.39000010490417,655,549,28,9
1611926056949,Medio,Chavez (Cesar) ,559,557,12,2.74000000953674,735,615,55,32
1611926056956,Medio,Ochoa (Anthony ,658,587,11,2.99000000953674,635,487,42,22
1611926056972,Medio,Winton Middle,555,548,13,2.29999995231628,571,527,63,36
1611926062160,Fundamental,Strobridge Elem,653,593,10,2.8199999332428,317,266,39,9
1611926066476,Medio,King (Martin Lu,581,563,12,2.8199999332428,618,545,52,33
1611926090583,Fundamental,Eden Gardens El,662,649,8,3.25,424,359,33,16
1611926104566,Fundamental,Tyrrell Element,513,508,15,2.30999994277954,558,463,82,56
1611926113815,Fundamental,Hayward Project,596,578,11,3.04999995231628,132,113,53,6
1612000133397,Superior,Granada High,759,760,2,3.50999999046326,1293,1165,5,4
1612000134536,Superior,Livermore High,731,729,4,3.47000002861023,1345,1204,6,5
1612006001234,Fundamental,Portola (Don Ga,692,650,8,2.92000007629395,334,237,42,26
1612006001242,Medio,East Avenue Mid,780,772,1,3.47000002861023,827,756,14,8
1612006001259,Fundamental,Smith (Emma C.),827,764,2,3.73000001907349,320,284,5,3
1612006001283,Fundamental,Jackson Avenue ,702,651,7,3.16000008583069,370,284,33,19
1612006001291,Fundamental,Michell (Joe) E,740,696,5,2.99000000953674,241,205,19,11
1612006001309,Medio,Junction Avenue,758,704,5,3.25,761,557,17,9
1612006001317,Fundamental,Marylin Avenue ,646,592,10,2.78999996185303,362,324,39,25
1612006001341,Medio,William Mendenh,813,796,1,3.71000003814697,805,735,6,2
1612006071906,Fundamental,Arroyo Seco Ele,786,753,2,3.5699999332428,442,374,17,10
1612006085773,Medio,Christensen (An,780,742,3,3.45000004768372,889,681,9,6
1612006089338,Fundamental,Rancho Las Posi,804,733,3,3.50999999046326,434,356,8,1
1612006110332,Fundamental,Croce (Leo R.) ,765,704,5,3.38000011444092,358,302,10,8
1612340130054,Superior,Newark Memorial,640,633,8,2.9300000667572,1579,1317,19,9
1612346001440,Fundamental,Schilling (Augu,655,618,9,2.28999996185303,464,371,52,32
1612346001457,Fundamental,Musick (E. L.) ,683,625,9,2.75,370,319,35,17
1612346001473,Fundamental,Snow (H. A.) El,806,735,3,3.07999992370605,317,288,24,14
1612346001481,Fundamental,Graham (James A,649,614,9,2.5,426,364,40,27
1612346001499,Fundamental,Bunker (James L,738,734,3,3.51999998092651,409,354,21,5
1612346001507,Fundamental,Kennedy (John F,815,782,1,3.49000000953674,336,286,10,3
1612346001523,Fundamental,Lincoln Element,762,720,4,3.5,289,252,13,7
1612346001531,Fundamental,Milani (Louis) ,669,631,8,3.08999991416931,329,261,41,23
1612346102917,Medio,Newark Junior H,616,633,8,2.9300000667572,1122,1009,25,8
1612420134668,Superior,James Logan Hig,663,665,7,3.17000007629395,3232,2654,21,16
1612426001572,Fundamental,Alvarado Elemen,679,664,7,3.23000001907349,613,534,36,39
1612426001606,Fundamental,Hillview Crest ,678,621,9,2.69000005722046,518,415,34,27
1612426001622,Fundamental,Searles Element,677,649,8,2.71000003814697,716,615,40,31
1612426056980,Medio,Barnard-White M,617,587,11,2.73000001907349,1120,952,31,20
1612426068266,Medio,Alvarado Middle,744,708,5,3.46000003814697,1042,887,20,17
1612426089346,Fundamental,Cabello (Refugi,762,713,4,3.39000010490417,651,577,31,27
1612426097679,Medio,Chavez (Cesar) ,725,672,6,3.16000008583069,999,873,23,13
1612426101604,Fundamental,Pioneer Element,797,768,2,3.61999988555908,649,586,15,35
1612426115505,Fundamental,Kitayama (Tom) ,692,647,8,3.1800000667572,590,515,31,27
1612426115554,Fundamental,Emanuele (Guy J,588,540,13,2.74000000953674,487,411,49,37
1612590132092,Superior,Castlemont Seni,418,433,18,2.25,1560,878,47,33
1612590133132,Superior,Fremont Senior ,436,442,18,2.09999990463257,1617,1237,45,50
1612590134791,Superior,McClymonds Seni,385,386,21,2.51999998092651,616,306,49,14
1612590135905,Superior,Oakland Senior ,530,516,14,2.0699999332428,1688,1341,54,47
1612590136051,Superior,Oakland Technic,500,506,15,2.8199999332428,1659,1063,38,21
1612590137943,Superior,Skyline Senior ,591,613,9,3.02999997138977,1606,1381,24,17
1612596001630,Fundamental,Allendale Eleme,543,493,15,2.23000001907349,450,413,68,52
1612596001648,Fundamental,Chabot (Anthony,844,781,1,3.84999990463257,193,164,16,3
1612596001655,Fundamental,Bella Vista Ele,514,481,16,2.24000000953674,531,491,92,60
1612596001663,Fundamental,Brookfield Vill,449,434,18,1.91999995708466,367,335,71,21
1612596001713,Fundamental,Howard Elementa,681,641,8,2.79999995231628,201,160,61,0
1612596001739,Fundamental,Cleveland Eleme,774,757,2,2.67000007629395,255,234,69,51
1612596001747,Fundamental,Cole Elementary,425,419,19,2.39000010490417,339,313,83,17
1612596001754,Fundamental,Crocker Highlan,771,755,2,4.03000020980835,266,241,15,3
1612596001770,Medio,Foster Middle,400,411,19,1.99000000953674,246,234,93,23
1612596001788,Fundamental,Cox Elementary,492,487,16,1.67999994754791,789,715,63,37
1612596001804,Fundamental,Sherman (Elisab,516,484,16,3.02999997138977,190,183,59,5
1612596001812,Fundamental,Emerson Element,484,480,16,2.54999995231628,250,224,72,23
1612596001820,Fundamental,Franklin Year-R,550,531,13,1.85000002384186,607,526,88,69
1612596001838,Fundamental,Fruitvale Eleme,549,498,15,2.52999997138977,425,369,81,43
1612596001846,Fundamental,Garfield Year-R,438,450,18,2.23000001907349,631,543,85,65
1612596001853,Fundamental,Glenview Elemen,633,618,9,3.05999994277954,276,247,60,32
1612596001861,Fundamental,Golden Gate Ele,445,431,18,2.64000010490417,218,180,87,7
1612596001879,Fundamental,Grass Valley El,712,681,6,2.78999996185303,159,138,35,1
1612596001887,Fundamental,Hawthorne Year-,391,421,19,1.54999995231628,863,774,89,81
1612596001895,Fundamental,Kaiser Elementa,724,714,4,3.50999999046326,196,177,15,3
1612596001903,Fundamental,Highland Elemen,411,413,19,2.29999995231628,494,433,81,45
1612596001937,Fundamental,Jefferson Year-,435,445,18,1.85000002384186,643,598,87,70
1612596001960,Fundamental,Swett (John) El,591,541,13,2.67000007629395,208,172,67,11
1612596001978,Fundamental,Lafayette Eleme,498,480,16,2.13000011444092,322,289,77,30
1612596001986,Fundamental,Lakeview Elemen,572,559,12,2.6800000667572,274,235,56,13
1612596001994,Fundamental,Laurel Elementa,631,646,8,2.63000011444092,364,347,74,45
1612596002000,Fundamental,Lazear Elementa,503,457,17,1.8400000333786,273,252,78,82
1612596002018,Fundamental,Lincoln Element,799,756,2,2.26999998092651,427,407,81,75
1612596002026,Fundamental,Lockwood Elemen,451,476,16,1.53999996185303,544,497,80,47
1612596002034,Fundamental,Longfellow Elem,485,468,17,2.75999999046326,242,203,71,4
1612596002042,Fundamental,Manzanita Eleme,514,527,14,2.02999997138977,602,541,76,48
1612596002059,Fundamental,Markham Element,442,467,17,1.71000003814697,411,363,92,33
1612596002067,Fundamental,Maxwell Park El,503,475,16,2.41000008583069,331,298,78,20
1612596002075,Fundamental,Melrose Element,470,461,17,1.58000004291534,190,173,92,73
1612596002091,Fundamental,Parker Elementa,429,383,21,2.36999988555908,337,302,88,10
1612596002109,Fundamental,Peralta Year-Ro,682,638,8,2.54999995231628,153,138,51,5
1612596002117,Fundamental,Piedmont Avenue,624,558,12,2.5,191,169,59,16
1612596002125,Fundamental,Prescott Elemen,552,546,13,2.45000004768372,427,378,87,27
1612596002166,Fundamental,Santa Fe Elemen,595,613,9,2.92000007629395,253,225,80,4
1612596002174,Fundamental,Sequoia Element,611,579,11,2.99000000953674,263,230,48,23
1612596002182,Fundamental,Sobrante Park E,473,459,17,2.19000005722046,242,206,59,49
1612596002190,Fundamental,Stonehurst Elem,453,472,16,1.98000001907349,433,397,79,57
1612596002232,Fundamental,Washington Elem,512,461,17,2.75,194,183,79,5
1612596002240,Fundamental,Webster Academy,432,430,19,2.88000011444092,595,539,90,29
1612596002257,Fundamental,Whittier Elemen,386,360,22,1.94000005722046,413,354,75,48
1612596056998,Medio,Harte (Bret) Mi,599,578,11,2.92000007629395,980,867,54,32
1612596057004,Medio,Claremont Middl,603,589,11,3.51999998092651,562,514,36,9
1612596057012,Medio,Elmhurst Middle,414,446,18,2.47000002861023,952,779,61,37
1612596057020,Medio,Frick Middle,409,406,20,2.78999996185303,739,658,54,26
1612596057038,Medio,Simmons (Calvin,409,414,19,2.22000002861023,1224,1043,52,64
1612596057046,Fundamental,Hoover Elementa,498,470,17,1.67999994754791,322,301,94,15
1612596057053,Medio,Lowell Middle,408,447,18,2.66000008583069,660,519,63,17
1612596057061,Medio,Brewer (Edna) M,578,576,11,2.75999999046326,794,678,62,38
1612596057079,Medio,Montera Middle,737,741,3,3.76999998092651,848,797,17,7
1612596057087,Medio,Roosevelt Middl,490,474,16,1.89999997615814,996,904,70,64
1612596057095,Medio,Westlake Middle,523,518,14,2.61999988555908,698,544,61,43
1612596057103,Medio,Carter Middle,456,419,19,3.11999988555908,429,345,65,8
1612596065866,Medio,Havenscourt Mid,370,379,21,2.23000001907349,746,642,63,54
1612596066443,Medio,King Estates Mi,440,425,19,3.11999988555908,528,409,57,7
1612596066450,Medio,Madison Middle,400,402,20,2.27999997138977,537,481,65,40
1612596072235,Fundamental,King (Martin Lu,507,513,14,2.34999990463257,205,193,91,17
1612596089353,Fundamental,Burbank Element,488,449,18,2.64000010490417,224,192,80,11
1612596096523,Fundamental,La Escuelita El,490,492,15,2.32999992370605,189,173,71,76
1612596111660,Medio,Oakland Charter,425,413,19,1.53999996185303,161,160,0,89
1612910137588,Superior,San Leandro Hig,608,562,12,2.9300000667572,1689,1358,19,22
1612916002372,Fundamental,Garfield Elemen,684,554,12,3.01999998092651,288,223,39,23
1612916002398,Fundamental,Jefferson Eleme,612,528,14,2.82999992370605,294,220,39,27
1612916002414,Fundamental,Madison (James),710,669,7,3.11999988555908,143,110,23,17
1612916002422,Fundamental,McKinley Elemen,729,660,7,2.71000003814697,307,239,43,27
1612916002430,Fundamental,Monroe Elementa,714,673,6,2.84999990463257,311,265,36,24
1612916002448,Fundamental,Roosevelt Eleme,759,693,5,3.5699999332428,362,309,17,10
1612916002455,Fundamental,Washington Elem,585,567,12,3.33999991416931,263,224,43,33
1612916002463,Fundamental,Wilson Elementa,625,576,11,2.70000004768372,583,469,48,36
1612916057111,Medio,Bancroft Middle,664,598,10,2.96000003814697,886,705,28,21
1612916066518,Medio,Muir (John) Mid,669,619,9,2.91000008583069,955,773,37,26
1613090130849,Superior,Arroyo High,645,642,8,3.0,1270,1026,13,7
1613090137810,Superior,San Lorenzo Hig,542,546,13,2.86999988555908,1077,681,24,12
1613096002505,Fundamental,Bay Elementary,679,662,7,3.16000008583069,404,317,13,17
1613096002513,Medio,Bohannon Middle,676,667,7,2.96000003814697,885,690,22,15
1613096002521,Fundamental,Colonial Acres ,543,546,13,2.4300000667572,406,331,52,33
1613096002539,Fundamental,Corvallis Eleme,679,616,9,2.80999994277954,469,392,32,24
1613096002547,Fundamental,Dayton Elementa,676,622,9,2.8199999332428,397,325,27,26
1613096002554,Fundamental,Del Rey Element,641,584,11,3.11999988555908,443,362,30,15
1613096002562,Medio,Edendale Middle,522,517,14,2.73000001907349,874,583,42,18
1613096002604,Fundamental,Grant Elementar,611,552,12,2.94000005722046,278,193,30,14
1613096002612,Fundamental,Hesperian Eleme,555,483,16,2.82999992370605,451,359,50,29
1613096002620,Fundamental,Hillside Elemen,486,483,16,2.5699999332428,239,203,57,33
1613096002653,Fundamental,Lorenzo Manor E,610,598,10,2.9300000667572,409,344,33,20
1613096002703,Medio,Washington Mano,718,681,6,2.97000002861023,747,599,25,18
1750930132704,Superior,Dublin High,701,726,4,3.50999999046326,930,646,8,3
1750936001390,Fundamental,Frederiksen Ele,755,706,5,3.36999988555908,470,364,14,12
1750936001424,Fundamental,Murray Elementa,753,732,3,3.34999990463257,277,250,13,5
1750936066484,Medio,Wells Middle,799,740,3,3.59999990463257,932,782,9,5
1751010130096,Superior,Foothill High,810,797,1,3.45000004768372,1315,1207,1,0
1751010130583,Superior,Amador Valley H,795,788,1,3.77999997138977,1365,1264,3,0
3739810330753,Superior,Amador County H,743,750,3,3.38000011444092,695,626,12,0
3739810334755,Superior,Argonaut High,707,722,4,3.25,383,342,15,1
3739816002810,Fundamental,Ione Elementary,658,663,7,2.99000000953674,397,353,35,1
3739816002828,Fundamental,Jackson Element,729,723,4,3.0699999332428,274,246,41,0
3739816002844,Fundamental,Pine Grove Elem,769,739,3,3.34999990463257,256,219,28,0
3739816002851,Fundamental,Pioneer Element,759,684,6,2.65000009536743,212,172,41,0
3739816002869,Fundamental,Plymouth Elemen,731,713,4,3.04999995231628,160,142,23,0
3739816002877,Fundamental,Sutter Creek El,772,764,2,3.26999998092651,343,303,25,0
3739816107387,Medio,Jackson Junior ,762,765,2,3.24000000953674,414,366,26,0
3739816107395,Medio,Ione Junior Hig,786,751,2,3.27999997138977,394,339,21,1
4100410430090,Superior,Learning Commun,560,554,12,2.90000009536743,304,191,23,1
4614080430827,Superior,Biggs High,652,616,9,2.88000011444092,210,185,35,9
4614086002943,Fundamental,Biggs Elementar,669,581,11,2.5,271,222,57,22
4614086113435,Medio,Biggs Middle,638,611,9,2.83999991416931,137,123,41,10
4614240431676,Superior,Chico High,685,702,5,3.28999996185303,1421,1306,16,15
4614240437558,Superior,Pleasant Valley,742,722,4,3.67000007629395,1594,1434,10,5
4614246002968,Fundamental,Chapman Element,504,426,19,1.64999997615814,318,296,96,47
4614246002976,Fundamental,Citrus Avenue E,605,577,11,2.85999989509583,330,276,71,20
4614246003008,Fundamental,Hooker Oak Elem,772,738,3,3.92000007629395,316,303,24,1
4614246003016,Fundamental,Partridge (Jay ,647,593,10,2.98000001907349,246,228,51,9
4614246003024,Fundamental,McManus (John A,614,557,12,2.77999997138977,457,423,57,22
4614246003032,Fundamental,Marigold Elemen,747,710,5,3.59999990463257,365,346,28,3
4614246003040,Fundamental,Neal Dow Elemen,706,670,7,3.55999994277954,326,311,26,1
4614246003073,Fundamental,Parkview Elemen,604,593,10,3.13000011444092,334,325,54,23
4614246003081,Fundamental,Rosedale Elemen,566,521,14,2.35999989509583,297,282,81,39
4614246003099,Fundamental,Shasta Elementa,737,705,5,3.45000004768372,394,366,23,3
4614246003107,Fundamental,Sierra View Ele,777,741,3,3.88000011444092,416,387,14,2
4614246057129,Medio,Bidwell Junior ,688,677,6,3.53999996185303,901,837,25,7
4614246057137,Medio,Chico Junior Hi,684,694,5,3.32999992370605,716,680,38,19
4614246109722,Fundamental,Little Chico Cr,690,662,7,3.05999994277954,461,424,41,6
4614246111116,Fundamental,Wilson (Emma) E,693,670,7,3.55999994277954,537,499,28,4
4614320433201,Superior,Durham High,736,763,2,3.6800000667572,345,308,14,1
4614326003115,Fundamental,Durham Elementa,709,646,8,3.46000003814697,367,321,33,5
4614326105761,Medio,Durham Intermed,755,754,2,3.58999991416931,313,281,28,3
4614996003198,Fundamental,Manzanita Eleme,633,609,10,3.08999991416931,202,157,44,15
4615076003230,Medio,Central Middle,580,563,12,2.96000003814697,747,653,50,15
4615076003255,Fundamental,Oakdale Heights,480,443,18,2.04999995231628,370,307,88,30
4615076003263,Fundamental,Ophir Elementar,752,730,4,3.19000005722046,586,507,37,1
4615076003271,Fundamental,Stanford Avenue,635,578,11,2.60999989509583,379,321,67,9
4615076094957,Fundamental,Wyandotte Avenu,526,490,16,2.07999992370605,385,306,96,30
4615150434803,Superior,Las Plumas High,622,590,11,2.82999992370605,1031,571,38,11
4615150435602,Superior,Oroville High,566,571,11,2.55999994277954,797,430,39,9
4615236003289,Fundamental,Helen M. Wilcox,634,578,11,2.50999999046326,346,281,63,12
4615236003297,Fundamental,Palermo Element,609,558,12,2.64000010490417,564,474,65,13
4615310437350,Superior,Paradise Senior,692,684,6,3.3199999332428,1225,1089,22,0
4615316003313,Fundamental,Paradise Elemen,707,646,8,2.78999996185303,617,546,53,0
4615316003321,Medio,Paradise Interm,712,723,4,2.91000008583069,514,459,35,0
4615316003339,Fundamental,Ponderosa Eleme,707,697,5,2.80999994277954,563,492,40,0
4615316105522,Fundamental,Pines Elementar,745,712,4,2.34999990463257,260,232,56,0
4615316113526,Fundamental,Cedarwood Eleme,709,667,7,2.24000000953674,246,201,56,0
4615316113781,Medio,Mountain Ridge ,689,681,6,2.70000004768372,407,339,48,0
4615496003354,Medio,Nelson Avenue M,568,557,12,2.23000001907349,472,391,72,1
4615496003362,Fundamental,Poplar Avenue E,545,495,15,1.96000003814697,161,121,80,25
4615496003370,Fundamental,Sierra Avenue E,563,508,15,2.19000005722046,492,382,85,10
4733796002927,Fundamental,Berry Creek Ele,498,456,17,2.45000004768372,142,109,85,0
4755070433953,Superior,Gridley High,558,596,10,2.70000004768372,474,395,38,6
4755076003164,Medio,Sycamore Middle,627,597,10,2.40000009536743,423,369,56,6
4755076003172,Fundamental,Wilson Elementa,622,559,12,2.03999996185303,556,487,59,22
5615640531509,Superior,Calaveras High,706,656,7,3.25,787,633,13,1
5615646003438,Fundamental,San Andreas Ele,655,646,8,2.0,318,273,54,0
5615646003446,Fundamental,Valley Springs ,665,641,8,2.70000004768372,310,268,28,3
5615646105431,Medio,Toyon Middle,758,711,4,3.07999992370605,564,442,25,0
5615646108518,Fundamental,Lind (Jenny) El,647,602,10,3.32999992370605,503,442,20,1
5615726003388,Fundamental,Copperopolis El,746,702,5,2.75,146,104,35,1
5615726003461,Fundamental,Mark Twain Elem,723,678,6,2.80999994277954,498,401,37,1
5615806003396,Fundamental,Fischer (Hazel),757,743,3,3.23000001907349,193,174,39,0
5615806088975,Fundamental,Michelson (Albe,768,734,3,3.07999992370605,218,192,33,1
5615806111884,Medio,Avery Middle,790,775,1,3.33999991416931,419,352,22,0
6615980631259,Superior,Colusa High,591,585,11,2.83999991416931,332,303,42,23
6615986003495,Fundamental,Burchfield (Jam,544,554,12,2.27999997138977,217,182,63,42
6615986057152,Medio,Egling (George ,612,583,11,2.53999996185303,520,438,54,24
6616066003503,Fundamental,Maxwell Element,646,591,10,2.64000010490417,212,184,62,16
6616140635250,Superior,Pierce High,512,512,14,2.10999989509583,283,237,43,34
6616146003511,Fundamental,Arbuckle Elemen,570,534,13,1.99000000953674,386,337,76,49
6616146103576,Medio,Johnson (Lloyd ,552,475,16,1.78999996185303,179,143,66,42
6616220637504,Superior,Williams High,462,420,19,1.66999995708466,305,262,83,57
6616226003552,Fundamental,Williams Elemen,561,460,17,1.62999999523163,350,303,85,67
7616480730465,Superior,Deer Valley Hig,688,673,6,3.38000011444092,2129,1599,11,2
7616480730861,Superior,Antioch High,603,610,10,2.95000004768372,1745,1550,26,6
7616486003586,Fundamental,Bidwell Element,697,652,7,3.25999999046326,414,349,24,2
7616486061154,Medio,Park Middle,699,658,7,2.98000001907349,1391,1108,24,1
7616486113104,Medio,Black Diamond M,721,711,4,3.46000003814697,1502,1258,10,3
7616556003644,Fundamental,Brentwood Eleme,642,556,12,2.72000002861023,504,396,38,18
7616556003651,Medio,Edna Hill Middl,676,682,6,3.19000005722046,812,685,26,11
7616556070981,Fundamental,Garin Elementar,670,643,8,2.97000002861023,393,322,32,14
7616556109730,Fundamental,Nunn (Ron) Elem,772,736,3,3.38000011444092,466,406,8,2
7616556112718,Medio,Bristow (Willia,727,643,8,3.25,762,667,21,11
7616970737023,Superior,Swett (John) Hi,593,573,11,3.11999988555908,494,432,14,6
7616976003685,Medio,Carquinez Middl,676,641,8,2.60999989509583,475,402,24,14
7616976003701,Fundamental,Hillcrest Eleme,607,573,11,2.6800000667572,560,464,38,15
7617056003719,Fundamental,Knightsen Eleme,682,638,8,2.48000001907349,294,248,33,7
7617210730457,Superior,Freedom High,672,684,6,2.98000001907349,1188,572,4,2
7617210733980,Superior,Liberty High,726,681,6,3.17000007629395,1445,643,6,3
7617390730549,Superior,Alhambra Senior,663,699,5,3.24000000953674,894,790,8,3
7617396003826,Fundamental,Muir (John) Ele,706,695,5,3.02999997138977,382,315,31,3
7617396003834,Fundamental,John Swett Elem,821,742,3,3.64000010490417,365,317,11,4
